,years_experience,degree,nr_commits,nr_languages,nr_stars
2283,0.0,0.0,840.0,0.0,4.0
2832,3.0,0.0,1859.0,3.0,6.0
2024,0.0,1.0,849.0,6.0,3.0
2235,1.0,0.0,847.0,6.0,2.0
2201,2.0,0.0,853.0,3.0,3.0
3333,2.0,0.0,848.0,5.0,6.0
2375,3.0,0.0,852.0,4.0,10.0
3095,0.0,2.0,846.0,2.0,1.0
2721,2.0,1.0,851.0,3.0,3.0
2868,1.0,1.0,851.0,6.0,4.0
2888,1.0,0.0,847.0,6.0,7.0
2974,1.0,0.0,853.0,7.0,4.0
3375,0.0,2.0,846.0,3.0,0.0
3660,3.0,0.0,1861.0,1.0,2.0
3272,0.0,0.0,847.0,2.0,3.0
2820,2.0,0.0,850.0,6.0,4.0
3940,1.0,0.0,848.0,4.0,2.0
2169,2.0,1.0,1854.0,14.0,5.0
2503,0.0,1.0,846.0,3.0,7.0
2675,1.0,0.0,849.0,2.0,6.0
3313,2.0,0.0,860.0,3.0,5.0
3040,2.0,0.0,845.0,2.0,3.0
3393,3.0,0.0,2866.0,6.0,3.0
2786,2.0,0.0,1859.0,0.0,7.0
3892,0.0,1.0,841.0,5.0,1.0
3962,1.0,0.0,848.0,2.0,3.0
2591,0.0,2.0,846.0,2.0,1.0
3567,2.0,0.0,846.0,2.0,2.0
3878,3.0,0.0,1857.0,1.0,3.0
2893,3.0,0.0,1858.0,2.0,4.0
3842,2.0,0.0,846.0,4.0,5.0
3692,1.0,0.0,850.0,7.0,3.0
3816,1.0,0.0,853.0,1.0,7.0
3038,2.0,0.0,848.0,7.0,6.0
3846,2.0,0.0,846.0,7.0,2.0
3503,2.0,0.0,853.0,9.0,3.0
3130,3.0,0.0,1859.0,0.0,9.0
3345,1.0,0.0,846.0,1.0,4.0
3458,2.0,0.0,851.0,3.0,4.0
2889,2.0,0.0,1862.0,6.0,2.0
2359,0.0,0.0,854.0,1.0,3.0
2114,1.0,2.0,843.0,9.0,6.0
3601,0.0,0.0,849.0,6.0,4.0
3586,1.0,0.0,848.0,4.0,2.0
3464,2.0,0.0,845.0,2.0,3.0
2645,3.0,0.0,1858.0,0.0,1.0
2019,1.0,0.0,847.0,2.0,5.0
3341,1.0,0.0,845.0,3.0,2.0
2139,0.0,1.0,847.0,4.0,2.0
2390,1.0,0.0,848.0,0.0,3.0
3494,0.0,1.0,846.0,6.0,4.0
3880,0.0,0.0,857.0,8.0,3.0
3122,2.0,0.0,845.0,6.0,3.0
3851,0.0,2.0,846.0,0.0,3.0
2300,2.0,0.0,858.0,2.0,2.0
2221,0.0,0.0,849.0,3.0,5.0
2679,1.0,0.0,848.0,0.0,5.0
3862,0.0,2.0,848.0,6.0,2.0
2970,1.0,0.0,850.0,0.0,4.0
3455,3.0,0.0,1860.0,0.0,4.0
2719,1.0,1.0,844.0,2.0,1.0
3919,1.0,0.0,853.0,2.0,1.0
2383,0.0,0.0,848.0,4.0,5.0
2524,0.0,0.0,859.0,15.0,3.0
3778,1.0,0.0,846.0,3.0,8.0
2457,0.0,1.0,850.0,2.0,1.0
2844,1.0,0.0,853.0,3.0,5.0
3889,1.0,0.0,847.0,5.0,8.0
2435,0.0,0.0,853.0,2.0,7.0
2730,3.0,0.0,2869.0,6.0,3.0
2998,2.0,0.0,844.0,11.0,3.0
3959,1.0,2.0,846.0,4.0,2.0
2955,1.0,0.0,847.0,0.0,2.0
3355,1.0,2.0,854.0,0.0,5.0
2001,0.0,0.0,847.0,1.0,3.0
2290,0.0,1.0,843.0,5.0,6.0
3224,0.0,3.0,847.0,7.0,1.0
2497,3.0,0.0,847.0,9.0,10.0
2239,2.0,1.0,861.0,1.0,1.0
3469,1.0,0.0,849.0,1.0,5.0
3317,1.0,0.0,847.0,0.0,1.0
3600,0.0,1.0,849.0,3.0,2.0
3098,2.0,1.0,845.0,10.0,2.0
2450,0.0,0.0,847.0,6.0,3.0
3096,1.0,0.0,849.0,3.0,5.0
