,0
1098,1.0
1286,1.0
1965,1.0
1836,1.0
1821,1.0
1293,1.0
1570,1.0
1624,1.0
1659,1.0
1391,1.0
1212,1.0
1114,1.0
1507,1.0
1840,1.0
1014,1.0
1533,1.0
1467,1.0
1665,1.0
1724,0.0
1541,1.0
1686,1.0
1316,1.0
1239,0.0
1001,1.0
1804,1.0
1443,1.0
1818,1.0
1051,1.0
1759,1.0
1516,1.0
1336,1.0
1843,1.0
1973,1.0
1926,1.0
1538,1.0
1791,1.0
1520,1.0
1397,1.0
1127,1.0
1213,1.0
1805,1.0
1065,1.0
1910,1.0
1691,1.0
1881,1.0
1622,1.0
1476,1.0
1847,1.0
1859,1.0
1952,1.0
1623,1.0
1561,1.0
1938,1.0
1506,1.0
1216,1.0
1374,1.0
1119,1.0
1809,1.0
1111,0.0
1669,1.0
1429,1.0
1300,1.0
1428,1.0
1562,1.0
1069,1.0
1250,1.0
1313,1.0
1934,1.0
1182,1.0
1601,1.0
1229,1.0
1455,1.0
1742,1.0
1594,1.0
1708,1.0
1161,1.0
1479,1.0
1954,1.0
1000,1.0
1528,1.0
1366,0.0
1242,1.0
1338,1.0
1531,1.0
1235,1.0
1248,1.0
1415,1.0
1282,1.0
1038,1.0
1353,1.0
1579,1.0
1246,1.0
1234,1.0
1464,1.0
1964,1.0
1485,1.0
1015,1.0
1447,1.0
1016,0.0
1482,1.0
