,y
0,0.0
1,0.0
2,1.0
3,0.0
4,0.0
5,1.0
6,1.0
7,0.0
8,0.0
9,1.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.0
15,1.0
16,0.0
17,1.0
18,0.0
19,1.0
20,0.0
21,1.0
22,1.0
23,0.0
24,0.0
25,0.0
26,1.0
27,1.0
28,1.0
29,0.0
30,1.0
31,1.0
32,1.0
33,1.0
34,0.0
35,0.0
36,1.0
37,1.0
38,0.0
39,1.0
40,0.0
41,1.0
42,1.0
43,1.0
44,0.0
45,0.0
46,1.0
47,1.0
48,1.0
49,0.0
50,1.0
51,0.0
52,1.0
53,0.0
54,1.0
55,1.0
56,1.0
57,1.0
58,0.0
59,1.0
60,0.0
61,1.0
62,1.0
63,0.0
64,1.0
65,0.0
66,0.0
67,0.0
68,1.0
69,1.0
70,1.0
71,0.0
72,0.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,0.0
79,1.0
80,0.0
81,1.0
82,0.0
83,0.0
84,1.0
85,1.0
86,0.0
87,1.0
88,0.0
89,0.0
90,0.0
91,1.0
92,0.0
93,1.0
94,1.0
95,0.0
96,0.0
97,1.0
98,0.0
99,1.0
100,0.0
101,1.0
102,0.0
103,1.0
104,1.0
105,1.0
106,1.0
107,0.0
108,0.0
109,1.0
110,0.0
111,1.0
112,1.0
113,1.0
114,1.0
115,0.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,0.0
122,0.0
123,1.0
124,0.0
125,1.0
126,0.0
127,1.0
128,1.0
129,0.0
130,0.0
131,1.0
132,0.0
133,1.0
134,1.0
135,0.0
136,1.0
137,0.0
138,0.0
139,1.0
140,0.0
141,1.0
142,1.0
143,1.0
144,0.0
145,0.0
146,1.0
147,0.0
148,1.0
149,1.0
150,0.0
151,1.0
152,0.0
153,1.0
154,1.0
155,1.0
156,0.0
157,1.0
158,1.0
159,0.0
160,0.0
161,1.0
162,0.0
163,1.0
164,0.0
165,0.0
166,0.0
167,0.0
168,1.0
169,1.0
170,0.0
171,0.0
172,1.0
173,1.0
174,1.0
175,1.0
176,0.0
177,0.0
178,1.0
179,1.0
180,1.0
181,1.0
182,0.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,0.0
190,0.0
191,1.0
192,0.0
193,0.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,0.0
