scm,t_type,r_type,gamma,gamma_obs_mean,gamma_obs_std,eta_obs_mean,eta_obs_std,eta_obs_individualized_mean,eta_obs_individualized_std,eta_obs_refits_batch0_mean_mean,eta_obs_refits_batch0_mean_std,intv-cost_mean,intv-cost_std
7var-credit,CE,individualized,0.5,0.01,0.01,1.0,0.0,,,0.73,0.01,3.64,0.1
7var-credit,CE,individualized,0.6,0.01,0.01,1.0,0.0,,,0.67,0.08,0.97,0.14
7var-credit,CE,individualized,0.7,0.01,0.01,1.0,0.0,,,0.66,0.23,3.42,0.24
7var-credit,CR,individualized,0.5,0.01,0.01,0.47,0.06,,,0.51,0.13,3.33,0.08
7var-credit,CR,individualized,0.6,0.01,0.01,0.47,0.06,,,0.45,0.02,3.64,0.1
7var-credit,CR,individualized,0.7,0.01,0.01,0.47,0.06,,,0.47,0.16,1.9,1.32
7var-credit,CR,subpopulation,0.5,0.0,0.01,0.57,0.15,,,0.5,0.13,3.3,0.34
7var-credit,CR,subpopulation,0.6,0.01,0.01,0.96,0.06,,,0.64,0.06,0.98,0.08
7var-credit,CR,subpopulation,0.7,0.01,0.01,1.0,0.0,,,0.64,0.23,1.12,0.02
7var-credit,ICR,individualized,0.5,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.0,0.74,0.03
7var-credit,ICR,individualized,0.6,0.19,0.02,0.05,0.01,1.0,0.0,0.05,0.01,3.33,0.08
7var-credit,ICR,individualized,0.7,0.34,0.02,0.04,0.02,1.0,0.0,0.03,0.01,2.89,1.59
7var-credit,ICR,subpopulation,0.5,0.01,0.0,0.01,0.01,,,0.0,0.01,0.74,0.06
7var-credit,ICR,subpopulation,0.6,0.17,0.13,0.04,0.05,,,0.04,0.04,3.68,0.25
7var-credit,ICR,subpopulation,0.7,0.3,0.09,0.02,0.0,,,0.02,0.0,3.6,0.11
