scm,t_type,r_type,gamma,gamma_obs_mean,gamma_obs_std,eta_obs_mean,eta_obs_std,eta_obs_individualized_mean,eta_obs_individualized_std,eta_obs_refits_batch0_mean_mean,eta_obs_refits_batch0_mean_std,intv-cost_mean,intv-cost_std
3var-causal-nonlinear,CE,individualized,0.75,0.38,0.03,0.91,0.01,,,0.55,0.05,0.51,0.14
3var-causal-nonlinear,CE,individualized,0.95,0.38,0.03,0.91,0.01,,,0.55,0.05,2.85,0.1
3var-causal-nonlinear,CE,subpopulation,0.75,0.38,0.03,0.91,0.01,,,0.55,0.05,0.51,0.14
3var-causal-nonlinear,CE,subpopulation,0.95,0.38,0.03,0.91,0.01,,,0.55,0.05,2.63,0.03
3var-causal-nonlinear,CR,individualized,0.75,0.38,0.02,1.0,0.0,,,0.61,0.05,0.46,0.11
3var-causal-nonlinear,CR,individualized,0.95,0.38,0.02,1.0,0.0,,,0.61,0.05,0.51,0.14
3var-causal-nonlinear,CR,subpopulation,0.75,0.37,0.03,0.96,0.02,,,0.57,0.04,0.54,0.12
3var-causal-nonlinear,CR,subpopulation,0.95,0.38,0.03,1.0,0.01,,,0.58,0.03,0.51,0.14
3var-causal-nonlinear,ICR,individualized,0.75,0.75,0.04,0.89,0.07,1.0,0.0,0.79,0.02,1.81,0.13
3var-causal-nonlinear,ICR,individualized,0.95,0.96,0.02,0.98,0.03,1.0,0.0,0.92,0.03,0.46,0.11
3var-causal-nonlinear,ICR,subpopulation,0.75,0.76,0.04,0.93,0.06,,,0.85,0.02,1.92,0.08
3var-causal-nonlinear,ICR,subpopulation,0.95,0.96,0.01,0.98,0.03,,,0.95,0.03,0.56,0.13
