,years_experience,degree
3810,1.0,1.0
3542,0.0,2.0
3316,1.0,1.0
2646,1.0,0.0
2330,0.0,2.0
2593,1.0,2.0
2681,1.0,1.0
2029,0.0,2.0
2082,1.0,3.0
2990,1.0,0.0
2816,1.0,0.0
3885,0.0,2.0
3261,1.0,3.0
2024,0.0,2.0
3174,2.0,1.0
2304,1.0,1.0
3000,1.0,1.0
3407,0.0,2.0
2037,1.0,1.0
2801,1.0,1.0
2933,0.0,1.0
2944,0.0,2.0
3880,1.0,1.0
2532,0.0,2.0
3389,0.0,2.0
2967,1.0,3.0
3667,0.0,2.0
2904,0.0,1.0
3349,2.0,1.0
2639,0.0,2.0
3097,0.0,2.0
3390,1.0,1.0
2544,1.0,1.0
3773,2.0,1.0
2906,2.0,1.0
3540,2.0,1.0
2514,0.0,1.0
2799,1.0,3.0
3394,0.0,2.0
3968,1.0,3.0
3759,0.0,1.0
3552,1.0,3.0
3734,0.0,3.0
2656,0.0,3.0
3044,0.0,2.0
2682,1.0,1.0
3931,0.0,1.0
2413,0.0,3.0
2015,1.0,2.0
3569,1.0,1.0
3021,0.0,2.0
3025,1.0,1.0
3416,0.0,1.0
2520,1.0,1.0
3740,1.0,1.0
2733,0.0,1.0
2579,0.0,1.0
2205,0.0,1.0
3240,0.0,2.0
3581,0.0,1.0
3936,3.0,1.0
2400,1.0,2.0
3731,3.0,1.0
2866,1.0,0.0
2943,0.0,3.0
3160,0.0,3.0
2438,0.0,1.0
3322,1.0,1.0
2034,1.0,1.0
3402,1.0,0.0
2863,0.0,1.0
3132,0.0,2.0
2791,0.0,1.0
3484,0.0,3.0
3388,1.0,1.0
2599,0.0,2.0
2663,1.0,3.0
2754,0.0,3.0
2641,1.0,1.0
3306,1.0,1.0
3074,1.0,3.0
2533,0.0,3.0
2915,0.0,1.0
3156,1.0,1.0
3620,0.0,1.0
3490,1.0,1.0
3435,1.0,1.0
3246,0.0,1.0
2249,0.0,1.0
2795,2.0,0.0
2622,0.0,3.0
3837,1.0,1.0
2838,0.0,1.0
3557,0.0,2.0
2695,0.0,3.0
2955,0.0,1.0
3784,0.0,3.0
2961,0.0,3.0
2842,0.0,2.0
2602,1.0,1.0
3359,0.0,1.0
2548,1.0,3.0
2631,1.0,0.0
2786,0.0,2.0
2461,0.0,2.0
3405,1.0,1.0
3052,1.0,1.0
3765,3.0,0.0
3015,0.0,3.0
3302,0.0,1.0
2108,0.0,2.0
2720,0.0,2.0
3670,2.0,0.0
3563,0.0,1.0
2046,0.0,2.0
3465,0.0,3.0
2725,1.0,1.0
3912,2.0,1.0
3741,0.0,2.0
3478,0.0,1.0
3410,3.0,1.0
2293,1.0,3.0
2149,2.0,1.0
3871,1.0,2.0
2414,0.0,3.0
2322,1.0,0.0
3348,1.0,2.0
3726,2.0,1.0
3392,1.0,0.0
3315,0.0,2.0
3458,3.0,1.0
3247,0.0,1.0
3841,2.0,1.0
2750,1.0,1.0
2905,0.0,2.0
2953,1.0,0.0
3282,0.0,3.0
2595,0.0,2.0
3891,0.0,2.0
2818,0.0,3.0
2263,1.0,2.0
3098,1.0,1.0
3222,1.0,1.0
3636,0.0,1.0
3695,0.0,2.0
3928,1.0,2.0
3024,0.0,3.0
3051,1.0,1.0
2253,0.0,2.0
3437,0.0,1.0
3702,0.0,1.0
2572,0.0,1.0
3701,1.0,1.0
3799,0.0,1.0
2674,3.0,1.0
2852,0.0,3.0
3635,2.0,1.0
2665,0.0,1.0
3570,2.0,0.0
2987,1.0,3.0
3733,0.0,1.0
3801,0.0,2.0
2652,0.0,2.0
2542,2.0,0.0
3464,0.0,1.0
2125,0.0,3.0
3463,1.0,2.0
3836,0.0,2.0
2444,0.0,2.0
3993,1.0,2.0
2691,0.0,1.0
2761,2.0,1.0
3659,0.0,1.0
3495,0.0,1.0
3937,0.0,2.0
3144,0.0,1.0
2902,0.0,2.0
2027,3.0,0.0
3712,2.0,0.0
3615,0.0,3.0
2829,1.0,2.0
2341,0.0,1.0
3647,2.0,2.0
2878,1.0,2.0
2272,0.0,2.0
3803,0.0,1.0
2241,0.0,1.0
2388,0.0,1.0
3523,2.0,0.0
2472,0.0,1.0
2638,1.0,3.0
3594,0.0,3.0
3431,0.0,1.0
3235,0.0,1.0
2924,2.0,1.0
2910,1.0,2.0
3633,1.0,1.0
2239,0.0,2.0
2005,1.0,0.0
3863,0.0,3.0
