r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.6653333504994711,0.3533333291610082,3.010666666676601,0.0,0.0,0.0,0.0,,0.18068022486651164,0.18903262240146637,0.4796721181352897
individualized,acceptance,0.85,0.85,1.0,1.0,,0.5840000112851461,0.4466666579246521,4.07066666123271,0.0,0.0,0.0,0.0,,0.08119114729725692,0.03055050476310745,0.3207013167083041
individualized,acceptance,0.9,0.9,1.0,1.0,,0.5306666394074758,0.5133333305517832,3.6260000048776466,0.0,0.0,0.0,0.0,,0.25375053207266757,0.08082904663386462,0.5158410606080768
individualized,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.6106666723887125,0.4933333396911621,2.989333333442609,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.2961441123873939,0.041633330392700583,0.18702227774605143
subpopulation,acceptance,0.75,0.75,1.0,0.9733333333333333,,0.7173333168029785,0.4799999992052714,3.01266666701436,0.0,0.0,0.0,0.03055050463303896,,0.2683679009138137,0.07999999821186113,0.43690425814304695
subpopulation,acceptance,0.85,0.85,1.0,0.9933333333333333,,0.5893333554267883,0.5200000107288361,3.596666668166717,0.0,0.0,0.0,0.011547005383792525,,0.08403176090212731,0.034641034734266704,0.25800258190642983
subpopulation,acceptance,0.9,0.9,1.0,1.0,,0.5439999997615814,0.4533333381017049,5.173999998137354,0.0,0.0,0.0,0.0,,0.28371817461416277,0.11015141051282962,0.7071067897634307
subpopulation,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.6199999849001566,0.49333332975705463,3.196000001599391,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.32186950034470974,0.03055049175630762,0.20294827167318277
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.7093333204587301,0.41333332657814026,3.293999999970197,0.0,0.0,0.0,0.0,,0.2677710359100165,0.12220200929732798,0.686926486305904
individualized,counterfactual,0.85,0.85,1.0,1.0,,0.5559999942779541,0.5133333305517832,3.7173333343664807,0.0,0.0,0.0,0.0,,0.052459496341549824,0.030550517769911436,0.3423935347815408
individualized,counterfactual,0.9,0.9,1.0,1.0,,0.4866666942834854,0.5066666603088379,5.651333328495423,0.0,0.0,0.0,0.0,,0.2910487022752824,0.01154699437171005,0.3804488574489014
individualized,counterfactual,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.5986666679382324,0.5200000007947286,3.4019999998311206,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.31293023960393546,0.07211102286426567,0.28479465847373997
individualized,improvement,0.75,0.75,1.0,0.9866666666666667,1.0,0.7773333191871643,0.7599999904632568,4.184666656265656,0.0,0.0,0.0,0.011547005383792525,0.0,0.20239896840566554,0.019999980926513672,0.1707668994176307
individualized,improvement,0.85,0.85,1.0,1.0,1.0,0.8919999798138937,0.8866666555404663,5.433333323746919,0.0,0.0,0.0,0.0,0.0,0.018330346430674743,0.0230939887434201,0.5263243596176935
individualized,improvement,0.9,0.9,1.0,1.0,1.0,0.9213333527247111,0.9066666563351949,3.5979999975959456,0.0,0.0,0.0,0.0,0.0,0.03780654487060694,0.011547028784467754,0.2157034984089383
individualized,improvement,0.9499999999999998,0.9499999999999998,1.0,1.0,1.0,0.9173333048820496,0.9599999984105428,5.779999984194835,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,0.0,0.060706978377199766,0.020000010728843463,0.16776174301121294
subpopulation,improvement,0.75,0.75,1.0,0.9933333333333333,,0.815999964872996,0.7733333309491476,4.348666652659575,0.0,0.0,0.0,0.011547005383792525,,0.17102048837047884,0.03055050151141528,0.3578845184387556
subpopulation,improvement,0.85,0.85,1.0,0.9866666666666667,,0.8813333312670389,0.8133333325386047,5.079999995420377,0.0,0.0,0.0,0.023094010767585053,,0.04026577051780433,0.0230939887434201,0.10873821142746438
subpopulation,improvement,0.9,0.9,1.0,1.0,,0.9173333247502645,0.9133333365122477,3.2866666629811134,0.0,0.0,0.0,0.0,,0.06201079732442796,0.05033221314723115,0.15271324310634818
subpopulation,improvement,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.9040000240008036,0.9666666587193807,5.627999994953473,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.03464105194064556,0.011547028784467754,0.38458289011243896
