,senior-level_skill
3128,1.0
2969,1.0
3850,1.0
3880,0.0
3364,1.0
2966,1.0
3137,1.0
2940,1.0
3626,1.0
2330,1.0
2326,1.0
2420,1.0
3507,0.0
3064,1.0
2506,1.0
2336,1.0
2825,1.0
3065,1.0
3368,1.0
2600,1.0
2201,1.0
3026,1.0
3052,0.0
3016,1.0
2170,1.0
3746,1.0
2801,1.0
2683,1.0
2874,1.0
3361,1.0
3284,1.0
2931,1.0
2255,1.0
2985,1.0
2176,1.0
2367,1.0
3996,1.0
2800,1.0
3150,1.0
3703,0.0
3215,1.0
2400,1.0
2266,1.0
3270,1.0
2649,0.0
2841,1.0
3429,1.0
2119,1.0
2652,1.0
2047,1.0
2281,1.0
2702,1.0
2321,1.0
2654,1.0
2868,1.0
3040,1.0
2259,1.0
3336,1.0
3456,1.0
2619,1.0
2066,1.0
2315,1.0
3340,1.0
3283,1.0
3830,1.0
3469,1.0
3527,1.0
3521,1.0
2291,1.0
2528,1.0
3083,1.0
2961,1.0
3213,1.0
3248,1.0
2621,1.0
2169,1.0
2335,1.0
3973,1.0
3875,1.0
2368,1.0
2707,1.0
3126,1.0
2431,1.0
2463,1.0
3125,1.0
3060,1.0
2628,1.0
3042,0.0
2312,1.0
3538,1.0
3624,1.0
3287,1.0
2845,1.0
3974,1.0
3199,1.0
3143,1.0
2756,1.0
2313,1.0
3099,1.0
3804,1.0
2134,1.0
3297,1.0
2746,1.0
2418,1.0
2376,1.0
2288,1.0
3702,1.0
3307,1.0
3896,1.0
3661,1.0
3853,1.0
3578,1.0
3382,1.0
2556,1.0
2899,1.0
3617,1.0
3251,1.0
3451,1.0
3053,1.0
3672,1.0
2994,1.0
2567,1.0
2802,1.0
2151,1.0
3298,1.0
2748,1.0
2190,1.0
2428,1.0
3759,1.0
3001,1.0
2719,1.0
3983,1.0
3293,1.0
3344,1.0
2388,1.0
3588,1.0
3660,1.0
2572,1.0
2785,1.0
2954,1.0
2332,1.0
3597,1.0
2900,1.0
2211,1.0
2509,1.0
3192,1.0
3822,1.0
2593,1.0
3711,1.0
2246,1.0
3903,1.0
3256,1.0
3773,1.0
2231,1.0
3599,1.0
3755,1.0
2480,1.0
2630,1.0
2849,1.0
2534,1.0
3341,1.0
2847,1.0
2638,1.0
3209,1.0
3023,1.0
2352,1.0
2386,1.0
2614,1.0
2108,1.0
3633,1.0
3551,1.0
2165,1.0
2383,1.0
2116,1.0
3832,1.0
2347,1.0
3727,1.0
2699,1.0
3103,1.0
3275,1.0
3532,1.0
3913,1.0
2361,1.0
3579,1.0
3643,1.0
3905,1.0
2109,1.0
2380,1.0
2643,1.0
2640,1.0
2403,1.0
3603,1.0
3195,1.0
3575,1.0
3638,1.0
2788,1.0
2187,1.0
2147,1.0
3208,1.0
3947,1.0
