,years_experience,degree
3141,0.0,1.0
2878,1.0,1.0
3772,1.0,0.0
2141,0.0,2.0
3245,0.0,2.0
3478,0.0,1.0
2957,0.0,1.0
3119,1.0,1.0
3837,1.0,0.0
2759,1.0,1.0
3583,1.0,1.0
3973,2.0,0.0
3148,1.0,3.0
2629,2.0,2.0
3142,0.0,1.0
2241,1.0,1.0
2204,3.0,1.0
3936,0.0,1.0
3045,0.0,1.0
3914,0.0,1.0
2439,0.0,1.0
3349,1.0,1.0
3750,0.0,2.0
3176,2.0,1.0
2019,1.0,1.0
3113,1.0,1.0
3069,0.0,2.0
3916,1.0,0.0
3566,1.0,0.0
2538,2.0,0.0
3009,2.0,1.0
2832,1.0,1.0
2198,2.0,1.0
3599,0.0,1.0
3665,0.0,1.0
2549,1.0,3.0
2999,2.0,1.0
2325,0.0,3.0
2992,1.0,0.0
3674,1.0,1.0
3616,0.0,2.0
2756,0.0,1.0
2232,0.0,1.0
3847,1.0,1.0
2199,1.0,2.0
3089,0.0,1.0
3124,0.0,1.0
3663,0.0,2.0
3951,2.0,0.0
2357,1.0,0.0
3117,0.0,2.0
2988,1.0,1.0
3054,0.0,1.0
2280,0.0,3.0
2577,0.0,1.0
2505,1.0,1.0
3523,1.0,1.0
2826,1.0,1.0
3530,0.0,2.0
3828,0.0,1.0
3485,1.0,1.0
2677,1.0,3.0
2501,1.0,1.0
3635,0.0,1.0
3839,0.0,2.0
2704,0.0,2.0
3169,1.0,1.0
2809,1.0,1.0
3945,0.0,3.0
3207,0.0,3.0
2663,0.0,1.0
2347,1.0,3.0
2314,0.0,1.0
3505,0.0,1.0
2791,1.0,3.0
2579,0.0,1.0
3077,2.0,0.0
3806,2.0,1.0
3248,1.0,2.0
3455,0.0,1.0
3421,0.0,2.0
3714,2.0,2.0
3418,0.0,1.0
3251,1.0,2.0
2659,0.0,3.0
3203,3.0,1.0
3122,1.0,2.0
3133,1.0,1.0
2156,0.0,2.0
2745,1.0,3.0
3925,1.0,2.0
3627,1.0,1.0
2966,1.0,1.0
2518,0.0,2.0
3669,0.0,1.0
3597,1.0,1.0
3220,0.0,1.0
3754,0.0,2.0
2938,0.0,2.0
3919,1.0,1.0
3978,0.0,3.0
3290,1.0,1.0
2817,0.0,1.0
2340,1.0,2.0
2343,0.0,3.0
2691,0.0,1.0
3229,1.0,3.0
3958,1.0,1.0
2904,1.0,3.0
2115,1.0,1.0
3929,1.0,1.0
2207,0.0,3.0
2048,2.0,1.0
3202,2.0,1.0
3517,0.0,3.0
2584,0.0,2.0
2731,0.0,3.0
3001,0.0,2.0
2744,1.0,1.0
3437,0.0,2.0
2435,0.0,1.0
3621,0.0,1.0
2446,1.0,0.0
2137,1.0,0.0
3946,1.0,1.0
3697,3.0,1.0
3862,2.0,0.0
3724,0.0,3.0
3992,2.0,0.0
2239,0.0,2.0
3086,1.0,3.0
2416,0.0,1.0
2098,0.0,3.0
2175,2.0,0.0
2066,1.0,3.0
3860,1.0,0.0
3008,1.0,1.0
2165,1.0,1.0
3272,0.0,3.0
2418,1.0,1.0
3159,0.0,3.0
2735,1.0,1.0
2386,1.0,1.0
3356,1.0,1.0
2427,0.0,3.0
3883,1.0,2.0
3003,0.0,2.0
2210,2.0,1.0
2687,1.0,1.0
3680,2.0,1.0
2863,1.0,2.0
3384,1.0,1.0
3675,1.0,0.0
3360,1.0,1.0
3387,0.0,1.0
3486,0.0,1.0
2845,0.0,1.0
3691,2.0,0.0
3758,0.0,1.0
3416,0.0,3.0
2758,0.0,1.0
2093,1.0,1.0
2775,0.0,2.0
3944,0.0,1.0
2380,1.0,1.0
3103,1.0,1.0
2275,1.0,0.0
2716,0.0,1.0
3287,0.0,3.0
3923,1.0,3.0
3760,1.0,1.0
2919,1.0,2.0
2131,1.0,1.0
2088,0.0,2.0
3322,1.0,1.0
2685,1.0,1.0
3532,0.0,2.0
3043,1.0,1.0
2864,0.0,3.0
2323,0.0,1.0
2186,0.0,2.0
2465,0.0,2.0
3704,0.0,2.0
2454,0.0,1.0
3575,1.0,1.0
3708,3.0,1.0
2300,0.0,2.0
2693,1.0,1.0
3390,3.0,1.0
3598,0.0,1.0
2143,0.0,2.0
2972,1.0,1.0
3681,2.0,1.0
2956,0.0,1.0
3728,0.0,2.0
3686,1.0,0.0
3238,1.0,2.0
3638,1.0,3.0
2634,1.0,1.0
3483,1.0,1.0
