r_type,t_type,years_experience_mean,degree_mean,nr_commits_mean,nr_languages_mean,nr_stars_mean,causes_mean,non-causes_mean,years_experience_std,degree_std,nr_commits_std,nr_languages_std,nr_stars_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.0,0.0,1081.6974393939395,0.00404040404040404,0.0775959595959596,0.0,1081.7790757575758,0.0,0.0,208.39909298260173,0.012776879435023756,0.17202936267475807,0.0,208.48248533761532,0.75
individualized,acceptance,0.0,0.0,1083.8610572813564,0.003547941728846252,0.08011613623673926,0.0,1083.9447213593219,0.0,0.0,196.13581435911547,0.015397960052717707,0.17230810057298282,0.0,196.22012643111722,0.85
individualized,acceptance,0.0,0.0,1077.1628434343434,0.00505050505050505,0.08157575757575757,0.0,1077.2494696969698,0.0,0.0,200.03746498234744,0.015971099293779694,0.1820235540448534,0.0,200.1109322513788,0.9
individualized,acceptance,0.0,0.0,1081.2582828282827,0.0020505050505050504,0.08109090909090909,0.0,1081.3414242424242,0.0,0.0,194.98272958161823,0.019461398878852565,0.18371388002906902,0.0,195.07682918471576,0.95
subpopulation,acceptance,0.0,0.0,1078.763283919598,0.0030251256281407036,0.08456532663316582,0.0,1078.8508743718592,0.0,0.0,199.9382340326864,0.020773045855946526,0.17482763934718704,0.0,200.02007678361434,0.75
subpopulation,acceptance,0.0,0.0,1082.6330427135679,0.0030251256281407036,0.08304773869346735,0.0,1082.7191155778894,0.0,0.0,202.89564946008184,0.020773045855946522,0.17012141494137162,0.0,202.97997600556042,0.85
subpopulation,acceptance,0.0,0.0,1086.26,0.0024999999999999996,0.091,0.0,1086.3535,0.0,0.0,203.01980189407908,0.023003622903070436,0.17001307139289157,0.0,203.12304702719268,0.9
subpopulation,acceptance,0.0,0.0,1085.1729020100502,0.001022613065326633,0.07906532663316583,0.0,1085.2529899497488,0.0,0.0,202.2143830997241,0.019031977532133034,0.17346373852481206,0.0,202.29905271573256,0.95
individualized,counterfactual,0.0,0.0,1080.4456499416274,0.0030505050505050505,0.08307070707070707,0.0,1080.5317711537487,0.0,0.0,206.80801322918967,0.01781916669670964,0.17262421167756356,0.0,206.89719435947833,0.75
individualized,counterfactual,0.0,0.0,1080.4456499416274,0.0030505050505050505,0.08307070707070707,0.0,1080.5317711537487,0.0,0.0,206.80801322918967,0.01781916669670964,0.17262421167756356,0.0,206.89719435947833,0.85
individualized,counterfactual,0.0,0.0,1080.4456499416274,0.0030505050505050505,0.08307070707070707,0.0,1080.5317711537487,0.0,0.0,206.80801322918967,0.01781916669670964,0.17262421167756356,0.0,206.89719435947833,0.9
individualized,counterfactual,0.0,0.0,1080.4456499416274,0.0030505050505050505,0.08307070707070707,0.0,1080.5317711537487,0.0,0.0,206.80801322918967,0.01781916669670964,0.17262421167756356,0.0,206.89719435947833,0.95
individualized,improvement,0.5945,1.337,,,,1.9314999999999998,0.0,0.04424992153163164,0.059404451759854586,,,,0.05411151037954454,0.0,0.75
individualized,improvement,0.5589999999999999,1.3984999999999999,,,,1.9575,0.0,0.04875106836436169,0.04796121117922042,,,,0.0543777936702515,0.0,0.85
individualized,improvement,0.662,1.482,,,,2.144,0.0,0.06733828364641058,0.07071853442423082,,,,0.054405882034941816,0.0,0.9
individualized,improvement,0.661,1.6355,,,,2.2965,0.0,0.06068131691239258,0.07088527507333395,,,,0.0355160370662168,0.0,0.95
subpopulation,improvement,0.5720000000000001,1.3355000000000001,,,,1.9075,0.0,0.04360173289114907,0.05519913445376154,,,,0.04727284867894278,0.0,0.75
subpopulation,improvement,0.611,1.3445,,,,1.9555,0.0,0.046236109025065884,0.05182502612959621,,,,0.05198557492228014,0.0,0.85
subpopulation,improvement,0.6719999999999999,1.4609999999999999,,,,2.133,0.0,0.06334210465576766,0.07187179944564877,,,,0.05573747990954261,0.0,0.9
subpopulation,improvement,0.5945,1.6155000000000002,,,,2.21,0.0,0.051069125267186204,0.06220262588240683,,,,0.04600724580614093,0.0,0.95
