r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.778,0.001,0.11583325,0.0,0.0,0.0,0.0,,0.2270800152662786,0.0021081851067789193,0.03249659028459755
individualized,acceptance,0.85,0.85,1.0,1.0,,0.7792,0.001,0.1163,0.0,0.0,0.0,0.0,,0.22635213471246277,0.0021081851067789193,0.03263416252351378
individualized,acceptance,0.9,0.9,1.0,1.0,,0.7773000000000001,0.001,0.11579234999999999,0.0,0.0,0.0,0.0,,0.22645041154497578,0.0021081851067789193,0.031671802879997914
individualized,acceptance,0.95,0.95,1.0,1.0,,0.7779,0.001,0.1161829,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.0,,0.22999345401312815,0.0021081851067789193,0.032498430961953984
subpopulation,acceptance,0.75,0.75,1.0,1.0,,0.7803,0.001,0.1163654,0.0,0.0,0.0,0.0,,0.22663433592953697,0.0021081851067789193,0.031691957652972114
subpopulation,acceptance,0.85,0.85,1.0,1.0,,0.7774,0.001,9.847222222222221,0.0,0.0,0.0,0.0,,0.22738230166640302,0.0021081851067789193,0.20745648807507686
subpopulation,acceptance,0.9,0.9,1.0,1.0,,0.7826,0.001,0.11782129999999999,0.0,0.0,0.0,0.0,,0.22487142005056035,0.0021081851067789193,0.03306052647896986
subpopulation,acceptance,0.95,0.95,1.0,1.0,,0.7825,0.001,0.11643585000000001,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.0,,0.22345332597410336,0.0021081851067789193,0.03204375618852204
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.7774,0.001,0.1163,0.0,0.0,0.0,0.0,,0.2313949005488237,0.0021081851067789193,0.03263416252351378
individualized,counterfactual,0.85,0.85,1.0,1.0,,0.7774,0.001,9.7775,0.0,0.0,0.0,0.0,,0.2313949005488237,0.0021081851067789193,0.25992787461140043
individualized,counterfactual,0.9,0.9,1.0,1.0,,0.7774,0.001,0.1163,0.0,0.0,0.0,0.0,,0.2313949005488237,0.0021081851067789193,0.03263416252351378
individualized,counterfactual,0.95,0.95,1.0,1.0,,0.7774,0.001,0.1163,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.0,,0.2313949005488237,0.0021081851067789193,0.03263416252351378
individualized,improvement,0.75,0.75,1.0,0.9215,0.9205,0.9211,0.9199999999999999,9.6575,0.0,0.0,0.0,0.015820169966779034,0.015536694915228539,0.01620322327330099,0.01598610507770905,0.2705575518977229
individualized,improvement,0.85,0.85,1.0,0.9324999999999999,0.9315,0.9319000000000001,0.931,0.11634865000000001,0.0,0.0,0.0,0.017834112132527224,0.017646214576755213,0.01841768473807468,0.017919573407620796,0.031501126629808376
individualized,improvement,0.9,0.9,1.0,0.9719999999999999,0.9719999999999999,0.9718,0.9715,10.72,0.0,0.0,0.0,0.012952906151816976,0.012952906151816976,0.013172361637577033,0.01355031774945191,0.27202941017470894
individualized,improvement,0.95,0.95,1.0,0.9814999999999999,0.9814999999999999,0.9814999999999999,0.9814999999999999,11.4825,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.01179689224612427,0.01179689224612427,0.011796892246124239,0.01179689224612427,0.17758018533108408
subpopulation,improvement,0.75,0.75,1.0,0.9120000000000001,,0.9114000000000001,0.9105000000000001,9.5375,0.0,0.0,0.0,0.016532795690183007,,0.017108802153017987,0.017070116838759173,0.23636424339471412
subpopulation,improvement,0.85,0.85,1.0,0.9265000000000001,,0.9259000000000001,0.925,0.11660200000000001,0.0,0.0,0.0,0.017646214576755203,,0.018260156990927836,0.01795054935711499,0.03191439222879442
subpopulation,improvement,0.9,0.9,1.0,0.9705,,0.9705999999999999,0.9705,10.665000000000001,0.0,0.0,0.0,0.013834337312964769,,0.013793718377097114,0.013834337312964769,0.2786873995477129
subpopulation,improvement,0.95,0.95,1.0,0.9789999999999999,,0.9789999999999999,0.9789999999999999,11.05,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.008755950357709139,,0.00875595035770912,0.008755950357709139,0.2300362290307043
